,doc_id,text,manu.couto1k_rels,manu.couto1k_posi,marcosfp_rels,marcosfp_posi,ezra_rels,ezra_posi,consensus,majority,consesus_doub,majority_doub,posible_consensus_1,posible_consensus_2,,"¿Ha arriesgado o perdido una relación importante, un trabajo, una oportunidad educativa o"
0,346244,hola soy ludopata de las tragaperras he perdido muchas oportunidades en esta vida y estoy intentando salir del problema que ha moldeado mi vida de esta manera tan negativa lo que mas me fastidia es que algun familiar por avaricia utilice el conocimiento de mi adiccion al juego en su probecho economico y que mi entorno lavoral se entere de mi debilidad queria saber como hacer terapia de una manera ...,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,profesional a causa del juego?
1,316041,Todos tenemos una oportunidad en la vida y si tu lo quieres deves darsela la ludopatia no tiene cura pero puede ser detenida si el se rinde directamente con el juego y se apega de corazon A UN PROGRAMA y estar en comunicacion diario con esta gente pero tiene que querer el no tu te aseguro que detiene su adiccion y vuelve ha ser como cualquier persona llamada normal totalmente independiente pero si...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
2,86282,yo he llegado a tener grandes deudas y estar basicamente arruinado y encima de tener que soportar los problemas que se presentan normalmente debes afrontar las deudas y los propios problemas del juego y encima estar amargado por no poder comprarte ni un chocolate para disfrutar por no tener dinero,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
3,443017,FELIZ CUMPLE MANDY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
4,48908,En cuanto a juegos de mesa o otros juegos donde no haya dinero de por medio Hemos debatido algunas veces Mi caso concreto se da la circunstancia de que cuando juego con mis nietas a algún juego no me causa trastorno alguno En cambio cuando he jugado a la consola o en alguna ocasión con amigos a algún juego de mesa si me ha causado Poblema me resultaba muy incómodo dejar de jugar sobre todo a la co...,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
5,270,Si un profesional de la salud le acaba haciendo un diagnóstico diferencial y de personalidad y este tiene por nombre juego patológico ludopatia o adicción al juego dificilmente tiene sentido fuera de la enfermedad volver a entrar en la dinámica de cultivar unas motivaciones dinerarias con riesgo de recuperar los esquemas de funcionamiento propios de la adicción que ya se han desarrollado en otros ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
6,220559,Perder el trabajo una relación u oportunidades en sus estudios o en su carrera debido al juego,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
7,394257,Me ha surgido una duda más,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
8,322578,Las experiencias traumatica que a mi o a muchos nos a dejado el juego van cediendo con el tiempo poniendo fin al juego otras son mas gerreras e incluso somaticas los cambios dramaticos de personalidad pueden facilmente ser motivados por el juego sin el juego,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
9,405395,Ha sufrido la pérdida de alguna relación significativa en el trabajo la escuela univesidad o algunas oportunidades sociales debido a Internet,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
10,532,Si un profesional de la salud le acaba haciendo un diagnóstico diferencial y de personalidad y este tiene por nombre juego patológico ludopatia o adicción al juego dificilmente tiene sentido fuera de la enfermedad volver a entrar en la dinámica de cultivar unas motivaciones dinerarias con riesgo de recuperar los esquemas de funcionamiento propios de la adicción que ya se han desarrollado en otros ...,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
11,494228,Muchas personas han llegado a perderlo todo dinero familia trabajo relaciones por culpa de su dependencia del juego,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
12,63896,Poco a poco el juego se aleja va perdiendo importancia e influencia en tu vida,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
13,480667,Pérdida del trabajo relaciones importantes u oportunidades en sus estudios o en su carrera debida al juego,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
14,72222,yo soy una ludópata nadie y repito nadie como yo o como cualquier ludópata sabe o comprende este infierno,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
15,76191,Que si bolsa de valores que si apuestas que si no juego pero realmente si juego pero hago creer a la gente que no juego que si juego pero lo tengo controlado pero cuando no juego no puedo dejar de pensar en jugar que si debo tanto o tanto más que si tengo créditos por culpa del juego pero pido más para seguir jugando que no tengo dinero para jugar pero lo robo para seguir jugando,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
16,67872,No era mi verdad absoluta era mi opinión,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
17,100385,De esta forma empieza a arriesgar más dinero y va empleando más tiempo en apuestas es decir se va metiendo en una espiral que le va absorbiendo tiempo y dinero y enfermando mentalmente porque va dedicando todas sus energías mentales en lo relacionado con el juego abandonando poco a poco los hábitos saludables,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
18,354978,Sólo quería desearte 24 horas de serenidad y que tu decisión firme sea enhorabuena Postscriptum,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
19,148771,Sólo diremos que en 1882 se casó pasando a desempeñar una cátedra en la Universidad de Zaragoza desde donde se trasladaría un año después a la Universidad de Oviedo como profesor de Derecho Romano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
