,doc_id,text,manu.couto1k_rels,marcosfp_rels,ezra.mario_rels,consensus,majority
0,175104,Es la primera vez que parando el juego me siento tranquila casi diría que feliz otras veces en que todo dependía de mi voluntad porque no cumplía con las medidas estaba muy alterada enojada y la angustia era insoportable ,False,False,False,False,False
1,156931,Llevas ya algún tiempo sin jugar y como verás has sido capaz de seguir a pesar de soledad depresión y problemas familiares ,False,False,True,False,False
2,297732,No has sido tu sinó tu problema que te tuerce la voluntad ,False,False,False,False,False
3,367109,El problema somos los jugadores no hace falta que nadie nos engañe para eso ya estamos nosotros mismos cuantas veces hemos pensado que cuando salga mi numero dejo de jugar y cuando le da por salir ,False,False,False,False,False
4,445955,Si tu estas dudando de si el está jugando te aseguro que a el le pasa lo mismo ,False,False,False,False,False
5,338951,Pero cada día intenta superar esos miedos alejándote del juego no te refugies en el cuándo tengas problemas alguien como tu puede buscar cosas bellas que hacer ,True,False,False,False,False
6,10760,Consigo dejar de jugar y además me conciencio de que no puedo jugar jamás pero no dejo de pensar en que podría jugar si consiguiera tener un poco de control acabo autoconvenciendome que no podría jugar con control y no juego a pesar de esos pensamientos Y pasan meses y sigo sin jugar pero a menudo divago sobre la posibilidad de jugar exporadicamente y a pesar de eso no juego Estoy rehabilitado ,False,False,False,False,False
7,156163,Supongo que además de sentirte como deprimido te encuentras agobiado por creer que estás en un callejón sin salida ,False,False,True,False,False
8,30730,Te sientes solo pero no estás solo es tu estado de ánimo el que te hace creerlo así ,False,False,False,False,False
9,127754,Prefiero jugar a hacer lo que mis deseos dicen mi mente está enferma y mucho compañero no me tomes como ejemplo pero piensa por ti mismo cuando escribes NO SÉ QUE ME PASA ,False,False,False,False,False
10,415503,No se si sera el caso pero la preocupacion te deberia llegar si cuando las ves sientes realmente ganas de jugar ,False,False,False,False,False
11,452115,Prisca gracias por despues de 10 años que sientes repecto al juego ,False,False,False,False,False
12,59412,Depresión ,False,False,False,False,False
13,296468,él mismo se dará cuenta un día déjale claro que cuando quieras hablar del tema puede contar contigo y con tu apoyo a mí me sirve que alguien me brinde su apoyo y me escuche en mi caso me di cuenta de la realidad a los 4 o 5 meses y lloré al verla ojalá tu pareja se vea a él mismo desde fuera como me veo yo me cuesta asumir que es una enfermedad prefiero llamarle problema pero cada persona tiene su...,False,False,False,False,False
14,297238,El problema es que yo aparte de mi sueldo que para unchaval de 20 años no se puede considerar pequeño unos 1200 aproximadamente tengo otros ingresos de otras fuentes no penseis mal no es de dorgas ni de robos ni nada por el estilo si no que por otros medios cada fin de semana gano unos 100 200 facilmente con una actividad relacionada con el fútbol por eso al verme con bastante idnero jugaba algo p...,False,False,False,False,False
15,96535,Has jugado alguna vez para obtener dinero para pagar deudas o resolver problemas financieros ,False,False,False,False,False
16,138776,La sensación de impotencia que te da el juego luego al menos a mi se traduce en depresión ,False,False,True,False,False
17,62233,veras como te sientes mejor lo hablas sin ninguna vergüenza es mas yo dentro del drama puedo terminar hasta bromeando entre amigos y creo que es muy importante cuando tu te veas que puedes hablarlo a TODO el mundo e incluso reirte de ti mismo y de tu problema puedes empezar a superarlo pero no vivas con el miedo que no se entere nadie y me escondo para jugar no amigo es mucho peor comentalo a toda...,False,False,False,False,False
18,83737,No escarmentamos jugamos con fuego y nos quemamos Yo provocaba disputa con mi pareja inconcientemente para tener excusa e irme a jugar No suelo entrar en tus ultimos hilos porque creo que mi opiniones pueden desanimarte ya que creo que te equivocas en mucho pero no lo se y si no te estas equivocando mis comentarios pueden desanimarte Ahora lo hago porque el disponer de ese dinero es una gran irres...,True,False,True,False,True
19,168987,Decía que era un lastre para mi madre porque le vengo costando unos 1200 euros mensuales ultimamente ,False,False,False,False,False
20,325916,El problema de un jugador y el problema de un familiar que sufre las consecuencias no es el mismo y por tanto las soluciones son diferentes ,False,False,False,False,False
21,85789,Mientras jugamos no nos sentimos como un niño indefenso las primeras jugadas dan sensación de control y que la recompensa será mucho más grande que lo jugado ,False,False,False,False,False
22,138526,No hay esperanza no hay salida no creo tener perdon de Dios a quien tantas veces le incumpli mis promesas ,False,False,False,False,False
23,85790,Nos sentimos indefensos cuando prolongando muchas jugadas comprobamos que esa falacia de control nos ha hecho tragar saliva viendo que la situación se nos ha ido de las manos y comprobamos con angustia que no hay vuelta atrás que hemos sido muy torpes y se nos vienen a la cabeza multitud de sensaciones y planificaciones para salir del apuro cómo justificar ese gasto cómo reponer ese dinero dilapid...,False,False,False,False,False
24,96544,Has jugado alguna vez por escapar de alguna preocupación ,False,False,False,False,False
25,269344,No esperes a que desaparezca el deseo de jugar pues eso no va a ocurrir quizas te levantes un dia y no sientas el minimo deseo de jugar pero te aseguro que vuelve en verdad es que siempre está ahi por eso tenemos que autoobligarnos a no jugar pero sabiendo que si queremos jugar jamas intentes dejar de sentirte jugador aun en los momentos que no sientas el minimo deseo de jugar sigue admitiendo que...,False,False,False,False,False
26,97571,hola Paco y si te sientes culpable cual es el problema es logico que te preguntes que hubiera ocurrido si no hubieras estado jugando y esa pregunta te pueda mortificar eso demuestra que eres una persona nueva con sentimientos seguro que si siguieras jugando te hubiera importado una M lo que pasara a tu alrrededor Paco ahora antepones el tu al yo eso es evolucionar eso es estar rehabilitado un abra...,False,False,False,False,False
27,122916,Ten en cuenta una cosa seguramente ella sea consciente del problema otra cosa es que ya no quiera saber nada de curarse los ludopatas nos solemos culpar y mucho estamos deprimidos y supongo que cuando llevas mucho tiempo jugando te haces asi agrio sin sentimientos ya no te importa si pierdes o ganas haces una barrera para la malo que conlleva el jugar y asumes el juego como parte de tu vida ,False,False,True,False,False
28,439845,no quererse a si mismo es tanto problema como el hecho de jugar te puede llevar al suicidio sin haver jugado nunca ,False,False,False,False,False
29,465955,Qué sientes cuando te viene ansiedad ,False,False,False,False,False
30,109607, Cuando tengas un problema estés estresado o te sientas triste por lo ,False,False,False,False,False
31,465957,quieres ir a jugar o solo sientes ansiedad ,False,True,False,False,False
32,30254,Sigues jugando porque no lo quieres dejar Un psicólogo te puede decir muchas cosas de tu comportamiento que tú desconoces y unas pautas que no sigues para ir de putas y jugar tú si estás violando mujeres o te piensas que te vana a decir que están por gusto la vida fácil es estarse acostando con todo tipo de asqueroros ,False,False,False,False,False
33,205615,Después de jugar viene la segunda parte y es que nos mientes constantemente nos metes unosrollos que ni tu mismo cuando nos los estás contando te lo puedes creer El dinero no está para malgastarlo en el juego pues lo único que se hace es enriquecer a otros y arruinar familias y no sólo economicamente ya que para un Adicto al juego una máquina es más importante que su familia y que él mismo ,False,False,False,False,False
34,480815,Durante el último mes he tenido problemas muy graves me he jugado el dinero de mi salario completamente los dos últimos meses cuando estaba en la mesa jugando me olvidé de mis cuentas y obligaciones no me acordaba de nada me he sentido muy mal y deprimido cuando empecé a jugar en los casinos hace 7 años me sentía muy bien y tenía mucho control 7 años después ya no tengo ese control actualmente mi ...,False,True,True,False,True
35,11569,Si tengo o no problemas de desconfianza con mi señora es problema mío ,False,False,False,False,False
36,88626,Y si pienso en jugar para evadirme de mis problemas y no importarme mucho el perder el dinero que tenga disponible pues vale te evadiras de tus problemas en ese momento pero al finalizar la sesion esos problemas seguiran ahi y tal vez mayores por perder tu dinero y por verte mas depresivo de como te sientes ,True,True,True,True,True
