,doc_id,text,manu.couto1k_rels,marcosfp_rels,ezra.mario_rels,DavidGallego_rels,consensus,majority
0,224514, Entiendes Tragaperras que cuando alguien te da una patada en la espinilla y lo perdonas y te da otra y lo perdonas y se pasa años pateándote llega un momento en que andas cojeando y sangrando y que lo último que te apetece es seguir exponiéndote a la persona que te ha causado tanto daño ,False,False,False,False,False,False
1,97028,No le hacía falta el dinero en ese momento podría perfectamente cobrarlos al día siguiente ,False,False,False,False,False,False
2,385285,Yo hace dos dias estaba que me queria morir y a las dos de la mañana con una terrible deprecion despues de perder dinero que tenia para pagar deudas entre al foro despues de no hacerlo por unas semanas y primero me puse a leer por mas de una hora tratando de enteder que es lo que me hace caer una y otra vez despues escribi mi sentir ,False,False,True,False,False,False
3,386822,pero luego despues de perder el dinero empiezo a pensar en las caras que ponen los empleados del banco al verme entrar ,False,False,False,False,False,False
4,458502,Y siguió llendo pero con menos suerte iba perdiendo y ese día lo dejo tiempo pero otro día tenía que intentarlo para que al menos pudiera sacar lo que había perdido el día anterior y así una vez y otra y otra hasta hacersele tan grande la pelota de las deudas por no llegarle con su mitad de sueldo porque la otra mitad la había perdido en ese estúpido juego y para poder llegar y pagar lo que debía ...,True,True,True,True,True,True
5,485390,el lunes vendió esas opciones y parece que ha vuelto a perder mucho más dinero y además que pensaba comprar más para recuperar dinero ,True,True,True,False,False,True
6,64785,El otro día después de perder una cantidad de dinero empecé a contarle a mi mujer una mentira para justificar ese gasto y ahí me derrumbé ,False,False,False,False,False,False
7,365842,luego rachas de perder mucho ganar un poco ,False,False,False,False,False,False
8,114200,Hasta diciembre no volveré a tener dinero ,False,False,False,False,False,False
9,96537,Después de perder sentiste que tenias que volver lo antes posible para ganar y recuperar tus perdidas ,True,False,False,False,False,False
10,490266,000 habrria seguido buscando DINERO hasta que al final lo habria perdido Todo y si no ese día al dia siguiente ,False,False,False,False,False,False
11,283418,Él no lleva encima más que el dinero justo para el día p ej ,False,False,False,False,False,False
